10 bcdefghi,aihjdc,abd,acbjhgfe,adf,aedg,afdh,agdjbi,ahb,bhd
10 bcdefg,agh,ahd,achigje,adj,ajg,afdib,bidc,dhg,dfe
10 bcdefg,agh,ahd,achije,adj,ajg,afib,bidc,dhg,dfe
10 bcdef,agehc,abi,aie,adihbgjf,aej,bje,bei,ched,egf
10 bcde,afg,agd,acghfije,adj,bidh,bhdc,dgf,dfj,die
10 bcdef,ageh,ahi,aie,adijhbgf,aeg,bfe,bejc,cjed,eih
10 bcde,afg,agh,ahgi,aif,bejg,bfjidhc,cgd,dgje,fig
10 bcde,afg,agh,ahi,aif,bejg,bfjihc,cgd,dgje,fig
10 bcde,afg,agh,ahi,aif,bejg,bfjhc,cgd,dje,fig
10 bcde,afg,agh,ahgi,aif,bejg,bfjdhc,cgd,dje,fig
10 bcdef,agc,abghijd,acj,aji,aig,bfhc,cgi,chfe,ced
10 bcdef,agc,abghid,aci,aij,ajg,bfhc,cgj,ced,ehf
10 bcdef,agc,abgheid,aci,aicj,ajg,bfhc,cgj,ced,ehf
10 bcdef,agc,abhiejd,acj,ajci,aig,bfh,cgi,chfe,ced
10 bcde,afg,agh,ahgi,aif,bej,bjidhc,cgd,dgje,fig
10 bcde,afg,agh,ahi,aif,bej,bjihc,cgd,dgje,fig
10 bcde,afg,agh,ahi,aif,bej,bjhc,cgd,dje,fig
10 bcde,afg,agh,ahgi,aif,bej,bjdhc,cgd,dje,fig
10 bcdef,agc,abhijd,acj,aji,aig,bfh,cgi,chfe,ced
10 bcdef,agc,abhid,aci,aij,ajg,bfh,cgj,ced,ehf
10 bcdef,agc,abheid,aci,aicj,ajg,bfh,cgj,ced,ehf
10 bcdefg,ahc,abifejd,acj,ajcf,aecig,afh,bgi,chf,ced
10 bcdef,agh,ahi,aihe,adhjf,aeg,bfj,bjedic,chd,ehg
10 bcdef,agh,ahi,aie,adhjf,aeg,bfj,bjeic,chd,ehg
10 bcdef,agh,ahi,aie,adjf,aeg,bfj,bjic,chd,ehg
10 bcdef,agh,ahi,aihe,adjf,aeg,bfj,bjdic,chd,ehg
10 bcde,afgc,abh,ahi,aij,bji,bih,cgd,dgfje,eif
10 bcdefg,agh,ahd,acigje,adj,ajg,afdib,bic,dhg,dfe
10 bcdefg,agh,ahd,acije,adj,ajg,afib,bic,dhg,dfe
10 bcdef,agehc,abi,aie,adhbgjf,aej,bje,bei,chd,egf
10 bcde,afg,agd,achfije,adj,bidh,bhc,dgf,dfj,die
10 bcdefg,agh,ahd,acifje,adj,ajdg,afib,bic,dhg,dfe
10 bcdef,aghc,abi,aie,adhgjf,aej,bje,bei,chd,egf
10 bcde,afg,agd,achije,adj,bih,bhc,dgf,dfj,die
10 bcdefg,agh,ahd,achifje,adj,ajdg,afib,bidc,dhg,dfe
10 bcdef,aghc,abi,aie,adihgjf,aej,bje,bei,ched,egf
10 bcde,afg,agd,acghije,adj,bih,bhdc,dgf,dfj,die
10 bcdefg,agfh,ahfid,acj,ajf,aejichbg,afb,bfc,cfj,dife
10 bcdefg,agh,ahfid,acj,ajf,aejichg,afb,bfc,cfj,dife
10 bcdef,agh,ahd,aci,aihjf,aeg,bfjh,bgjeic,dhe,ehg
10 bcde,afg,agh,ahe,adi,bihj,bjhc,cgjfid,ehf,fhg
10 bcdef,agh,ahd,achigje,adf,aej,bjdi,bidc,dhg,dgf
10 bcdef,agh,ahd,achi,aihjf,aeg,bfjh,bgjeidc,dhe,ehg
10 bcdefg,ahc,abifjed,ace,adcj,ajcig,afh,bgi,chf,cfe
10 bcdef,agh,ahd,achi,aihjf,aeg,bfj,bjeidc,dhe,ehg
10 bcdefg,ahc,abhijed,ace,adcj,ajig,afh,bgic,chf,cfe
10 bcdef,agh,ahd,achi,aijf,aeg,bfjh,bgjidc,dhe,ehg
10 bcdefg,ageh,ahi,aie,adijhbgf,aeg,afeb,bejc,cjed,eih
10 bcdefg,ageh,ahi,aie,adijhbf,aeg,afb,bejc,cjed,eih
10 bcdefg,ageh,ahi,aie,adijbf,aeg,afb,bjc,cjed,eih
10 bcdefg,agc,abh,ahi,aif,aeijhg,afb,cfjd,djfe,fih
10 bcdef,agh,ahd,ache,adhi,aig,bfjh,bgjiedc,ehjf,gih
10 bcdef,agh,ahd,ace,adhi,aig,bfjh,bgjiec,ehjf,gih
10 bcdef,afc,abg,agh,ahi,aib,cijd,djie,ehjgf,gih
10 bcdef,afgc,abgh,ahi,aig,agb,bfeijc,cjd,djge,gih
10 bcdef,afc,abgh,ahi,aig,agb,cfeij,cjd,djge,gih
10 bcde,aefg,ahi,aif,afb,bedijg,bfh,cgj,cjfd,fih
10 bcdef,agc,abgd,ach,ahi,aig,bfijc,dje,ejgf,gih
10 bcdef,agc,abd,ach,ahi,aig,bfij,dje,ejgf,gih
10 bcde,aefg,ahi,aif,afb,bedijhg,bfh,cgfj,cjfd,fih
10 bcdef,afgc,abh,ahi,aig,agb,bfeijh,cgjd,djge,gih
10 bcdef,afeg,ahi,aie,adijhgbf,aeb,beh,cgej,cjed,eih
10 bcdefg,agc,abgd,ach,ahi,aig,afijhcb,dgje,ejgf,gih
10 bcdefg,agc,abgd,acgh,ahi,aig,afjhdcb,dgje,ejf,gih
10 bcdef,agh,ahd,ache,adhi,aig,bfj,bjiedc,ehjf,gih
10 bcde,aefg,ahi,aif,afb,bedjhg,bfh,cgfj,cjd,fih
10 bcdef,afgc,abh,ahi,aig,agb,bfejh,cgjd,dje,gih
10 bcdef,afgc,abgh,ahi,aig,agb,bfejc,cjd,dje,gih
10 bcde,aefg,ahi,aif,afb,bedjg,bfh,cgj,cjd,fih
10 bcdef,afeg,ahi,aie,adjhgbf,aeb,beh,cgej,cjd,eih
10 bcdefg,agc,abgd,ach,ahi,aig,afjhcb,dgje,ejf,gih
10 bcdefg,agc,abgd,acgh,ahi,aig,afjdcb,dje,ejf,gih
10 bcdef,afeg,ahi,aie,adjgbf,aeb,beh,cgj,cjd,eih
10 bcdefg,agc,abgd,acgh,ahi,aig,afijdcb,dje,ejgf,gih
10 bcdef,afeg,ahi,aie,adijgbf,aeb,beh,cgj,cjed,eih
10 bcdefg,agc,abgd,ach,ahi,aig,afijcb,dje,ejgf,gih
10 bcdefg,agc,abd,ach,ahi,aig,afijb,dje,ejgf,gih
10 bcdefgh,ahc,abhd,ache,adhif,aej,ajh,agiedcb,ehj,fig
10 bcdefg,ahi,aid,acie,adif,aeijg,afh,bgj,bjfedc,fih
10 bcdefgh,aic,abijfed,ace,adcf,aecg,afjh,agi,bhjc,cig
10 bcdefgh,aic,abijed,ace,adcf,aeg,afjh,agi,bhjc,cig
10 bcdefgh,aic,abijged,ace,adcf,aeg,afcjh,agi,bhjc,cig
10 bcdefgh,ahi,aid,acie,adif,aeijg,afh,agjib,bhjfedc,fih
10 bcdefgh,ahi,aihd,achje,adf,aejhg,afh,agfjdcib,bhc,dhf
10 bcdefg,agh,ahi,aihe,adhjf,aeg,afjhb,bgjedic,chd,ehg
10 bcdefg,agh,ahi,aie,adhjf,aeg,afjhb,bgjeic,chd,ehg
10 bcdefg,agh,ahi,aie,adjf,aeg,afjhb,bgjic,chd,ehg
10 bcdef,aghic,abd,acihe,adh,ahj,bjh,bgjfedi,bhd,fhg
10 bcde,afc,abghd,ach,ahi,bjhg,cfh,cgfjied,ehj,fih
10 bcdefg,agc,abhid,aci,aij,ajig,afhb,cgi,chfjed,eif
10 bcdef,aghc,abd,achie,adi,aij,bji,bid,dhgjfe,fig
10 bcdefg,ahfic,abd,acife,adf,aedibhjg,afj,bjf,bfd,fhg
10 bcdef,agc,abhed,ace,adchgijf,aej,bieh,cge,egj,eif
10 bcdefg,ahfi,aid,acjfe,adf,aedjibhg,afh,bgf,bfjc,dif
10 bcdef,afg,agh,ahgi,aif,aejgb,bfjidhc,cgd,dgje,fig
10 bcdef,afg,agh,ahgi,aif,aejgb,bfjdhc,cgd,dje,fig
10 bcdef,afg,agh,ahi,aif,aejgb,bfjihc,cgd,dgje,fig
10 bcdef,afg,agh,ahi,aif,aejgb,bfjhc,cgd,dje,fig
10 bcdefg,agc,abghijd,acj,aji,aig,afhcb,cgi,chfe,ced
10 bcdefg,agc,abghid,aci,aij,ajg,afhcb,cgj,ced,ehf
10 bcdefg,agc,abhiejd,acj,ajci,aig,afhb,cgi,chfe,ced
10 bcdef,afg,agh,ahgi,aif,aejb,bjidhc,cgd,dgje,fig
10 bcdef,afg,agh,ahi,aif,aejb,bjihc,cgd,dgje,fig
10 bcdef,afg,agh,ahi,aif,aejb,bjhc,cgd,dje,fig
10 bcdefg,agc,abhijd,acj,aji,aig,afhb,cgi,chfe,ced
10 bcdefg,agc,abhid,aci,aij,ajg,afhb,cgj,ced,ehf
10 bcdefg,agc,abgheid,aci,aicj,ajg,afhcb,cgj,ced,ehf
10 bcdefgh,ahc,abhiejd,acj,ajcf,aeig,afh,agicb,chf,ced
10 bcdefg,ahic,abd,acife,adf,aedihjg,afj,bjf,bfd,fhg
10 bcdefgh,ahc,abied,ace,adcihjf,aej,ajh,ageib,che,egf
10 bcdefgh,ahc,abied,ace,adcijf,aej,ajh,agib,che,egf
10 bcdefgh,ahgi,aigjd,ace,adjgf,aeg,afejcibh,agb,bgc,cge
10 bcdefg,agh,ahd,achi,aihjf,aeg,afjhb,bgjeidc,dhe,ehg
10 bcdefgh,ahfi,aid,acjfe,adf,aedjibhg,afh,agfb,bfjc,dif
10 bcdefg,agh,ahd,ache,adhi,aig,afjhb,bgjiedc,ehjf,gih
10 bcdefg,agh,ahd,ache,adi,aig,afjhb,bgjidc,ehjf,gih
10 bcdef,afgh,aid,acjge,adg,agb,bfedjih,bgi,chgj,dig
10 bcdefg,ahc,abhd,achi,aif,aejhg,afh,bgfjdc,dje,fih
10 bcdefg,ahc,abhd,aci,aif,aejhg,afh,bgfjc,dje,fih
10 bcdefg,ahc,abd,aci,aif,aejhg,afh,bgfj,dje,fih
10 bcdefg,agfh,aid,acjfe,adf,aedjihbg,afb,bfi,chfj,dif
10 bcdefgh,ahc,abhd,achi,aif,aejhg,afh,agfjdcb,dje,fih
10 bcdefg,agfh,aid,acjfe,adf,aedjhbg,afb,bfi,chj,dif
10 bcdef,afg,ahd,acife,adf,aedijgb,bfj,cji,dhf,fhg
10 bcdefgh,ahc,abhd,aci,aif,aejhg,afh,agfjicb,dhje,fih
10 bcdefghi,aic,abid,aci,aijgf,aeg,afejih,agi,ahgjedcb,eig
10 bcdefgh,ahi,aid,acijhgfe,adf,aedg,afd,adjib,bhjdc,dih
10 bcdefgh,ahc,abhd,ach,ahijf,aej,ajh,agiedcb,ehj,eigf
10 bcdefgh,ahi,aih,ahjfe,adf,aedjhg,afh,agfjdcib,bhc,dhf
10 bcdefg,agh,ahd,achigfje,adj,ajd,adihb,bgidc,dhg,dfe
10 bcdefg,agh,ahd,achifje,adj,ajd,aihb,bgidc,dhg,dfe
10 bcdefg,agh,ahd,acigfje,adj,ajd,adihb,bgic,dhg,dfe
10 bcdefgh,ahc,abhid,ace,adihgjf,aej,aje,aeicb,che,egf
10 bcdefghi,aic,abjed,ace,adcjihgf,aeg,afeh,age,aejb,cie
10 bcdefgh,ahi,aid,acijhgfe,adf,aedg,afd,adjb,bjdc,dih
10 bcdefgh,ahc,abhd,ach,ahif,aej,ajh,agiedcb,ehj,fig
10 bcdefgh,ahi,aih,ahje,adf,aejhg,afh,agfjdcib,bhc,dhf
10 bcdefg,agh,ahd,achigfje,adj,ajd,adib,bidc,dhg,dfe
10 bcdefg,agh,ahd,acigfje,adj,ajd,adib,bic,dhg,dfe
10 bcdefg,agh,ahd,acifje,adj,ajd,aib,bic,dhg,dfe
10 bcdefg,agh,ahd,achifje,adj,ajd,aib,bidc,dhg,dfe
10 bcdefgh,ahc,abied,ace,adcigjf,aej,aje,aib,che,egf
10 bcdefgh,ahc,abid,ace,adihgjf,aej,aje,aeib,che,egf
10 bcdefghi,aic,abijed,ace,adcjihgf,aeg,afe,aei,ahejcb,cie
10 bcdefgh,ahi,aid,acijhgfe,adf,aed,adh,agdjib,bhjdc,dih
10 bcdefgh,ahi,aid,acijgfe,adf,aed,adh,agjib,bhjdc,dih
10 bcdefg,ahi,aid,aci,aif,aejhg,afh,bgfji,bhjedc,fih
10 bcdefg,aeh,ahi,aie,adijhbgf,aeg,afe,bejic,chjed,eih
10 bcdefg,aeh,ahi,aie,adijbgf,aeg,afe,bjic,chjed,eih
10 bcdef,agh,ahd,ach,ahi,aig,bfijh,bgjiedc,ehjgf,gih
10 bcdefg,ahc,abijfed,ace,adc,acj,ajh,bgji,chj,cihgf
10 bcdefg,ahc,abifed,ace,adc,acj,ajh,bgji,chj,fihg
10 bcdef,agh,ahd,ach,ahi,aig,bfij,bjedc,ejgf,gih
10 bcdef,agh,ahd,ach,ahi,aig,bfij,bjiedc,ehjgf,gih
10 bcdefgh,aic,abjgfed,ace,adc,acg,afcjih,agi,bhgj,cig
10 bcdefg,ahi,aid,aci,aif,aeijhg,afh,bgfj,bjfedc,fih
10 bcdefgh,ahi,aid,aci,aif,aeijhg,afh,agfjib,bhjfedc,fih
10 bcdefgh,afi,aid,acijfe,adf,aedjibhg,afh,agf,bfjdc,dif
10 bcdefg,agh,ahd,ach,ahi,aig,afijhb,bgjiedc,ehjgf,gih
10 bcdefgh,ahc,abhifed,ace,adc,acj,ajh,agjicb,chj,fihg
10 bcdefghi,aic,abijgfed,ace,adc,acg,afcjh,agi,ahjcb,cig
10 bcdefgh,ahi,aid,acijhgfe,adf,aed,adh,agdjb,bjdc,dih
10 bcdefgh,ahi,aid,acjhgfe,adf,aed,adh,agdjb,bjc,dih
10 bcdefg,ahi,aid,aci,aif,aeijg,afh,bgj,bjfedc,fih
10 bcdefg,aeh,ahi,aie,adijhbgf,aeg,afe,bejc,cjed,eih
10 bcdefg,aeh,ahi,aie,adjhbgf,aeg,afe,bejc,cjd,eih
10 bcdefg,aeh,ahi,aie,adjbgf,aeg,afe,bjc,cjd,eih
10 bcdef,agh,ahd,ach,ahi,aig,bfj,bjedc,ejf,gih
10 bcdef,agh,ahd,ach,ahi,aig,bfj,bjiedc,ehjf,gih
10 bcdef,agh,ahd,ach,ahi,aig,bfjh,bgjiedc,ehjf,gih
10 bcdefg,ahc,abhifed,ace,adc,acj,ajh,bgic,chj,fig
10 bcdefgh,aic,abijfed,ace,adc,acg,afjh,agi,bhjc,cig
10 bcdefg,ahi,aid,aci,aif,aejg,afh,bgji,bhjedc,fih
10 bcdefgh,ahi,aid,aci,aif,aeijg,afh,agjib,bhjfedc,fih
10 bcdefgh,afi,aid,acjfe,adf,aedjibhg,afh,agf,bfjc,dif
10 bcdefg,agh,ahd,ach,ahi,aig,afjhb,bgjiedc,ehjf,gih
10 bcdefgh,ahc,abhifed,ace,adc,acj,ajh,agicb,chj,fig
10 bcdefghi,aic,abigjfed,ace,adcf,aecjg,afjcih,agi,ahgcb,cgf
10 bcdefgh,ahi,aid,acie,adijf,aejihg,afh,agfib,bhfjedc,eif
10 bcdefgh,ahi,aihjd,acjhfe,adf,aedhg,afh,agfdjcib,bhc,chd
10 bcdefg,agh,ahi,aihje,adjhgf,aeg,afehb,bgejdic,chd,dhe
10 bcdefg,agh,ahi,aihje,adjhgf,aeg,afeb,bejdic,chd,dhe
10 bcdefg,agh,ahi,aihje,adjgf,aeg,afehb,bgjdic,chd,dhe
10 bcdef,aghdc,abd,acbie,adi,aij,bjih,bgi,dhgjfe,fig
10 bcdefg,ahifdc,abd,acbfe,adf,aedbihjg,afj,bjfi,bhf,fhg
10 bcdefg,ahfij,ajd,acjfe,adf,aedjibhg,afh,bgf,bfj,bifdc
10 bcdef,afg,agh,ahgij,ajf,aejgb,bfjidhc,cgd,dgj,digfe
10 bcdef,afg,agh,ahgij,ajf,aejgb,bfidhc,cgd,dgj,dife
10 bcdef,afg,agh,ahgij,ajf,aejb,bidhc,cgd,dgj,dife
10 bcdef,afg,agh,ahgij,ajf,aejb,bjidhc,cgd,dgj,digfe
10 bcdefg,agc,abghijd,acj,ajih,ahg,afhcb,cgfei,che,ced
10 bcdef,afg,agh,ahij,ajf,aejgb,bfjihc,cgd,dgj,digfe
10 bcdef,afg,agh,ahij,ajf,aejgb,bfihc,cgd,dgj,dife
10 bcdef,afg,agh,ahij,ajf,aejb,bjihc,cgd,dgj,digfe
10 bcdefg,agc,abghid,aci,aihj,ajg,afjcb,cje,ced,ehgf
